Title;Front;Back
0556 Next Greater Element III;"https://leetcode.com/problems/next-greater-element-iii/description/

* algorithms
* Medium (29.75%)
* Total Accepted:    23.5K
* Total Submissions: 78.9K
* Testcase Example:  '12'

Given a positive 32-bit integer n, you need to find the smallest 32-bit integer which has exactly the same digits existing in the integer n and is greater in value than n. If no such positive 32-bit integer exists, you need to return -1.

Example 1:


Input: 12
Output: 21


 

Example 2:


Input: 21
Output: -1


 






";"
```cpp
class Solution {
public:
    int nextGreaterElement(int n) {
        vector<int> digits;
        while (n > 0) { digits.push_back(n % 10); n = n / 10; }
        
        int i, j, L = digits.size();
        for (j = 1; j < L; ++j) if (digits[j-1] > digits[j]) break; 
        if  (j == L) return -1;
        for (i = 0; i < j; ++i) if (digits[i] > digits[j]) break;
        
        swap(digits[i], digits[j]);
        reverse(digits.begin(), digits.begin() + j);
        
        long long nn = 0;
        for (int i = L-1; i >= 0; --i) nn = nn * 10 + digits[i];
            
        return nn > INT_MAX ? -1 : int(nn);
    }
};
```

"
0554 Brick Wall;"https://leetcode.com/problems/brick-wall/description/

* algorithms
* Medium (47.38%)
* Total Accepted:    35.1K
* Total Submissions: 74.1K
* Testcase Example:  '[[1,2,2,1],[3,1,2],[1,3,2],[2,4],[3,1,2],[1,3,1,1]]'

There is a brick wall in front of you. The wall is rectangular and has several rows of bricks. The bricks have the same height but different width. You want to draw a vertical line from the top to the bottom and cross the least bricks.

The brick wall is represented by a list of rows. Each row is a list of integers representing the width of each brick in this row from left to right.

If your line go through the edge of a brick, then the brick is not considered as crossed. You need to find out how to draw the line to cross the least bricks and return the number of crossed bricks.

You cannot draw a line just along one of the two vertical edges of the wall, in which case the line will obviously cross no bricks. 

 

Example:


Input: [[1,2,2,1],
        [3,1,2],
        [1,3,2],
        [2,4],
        [3,1,2],
        [1,3,1,1]]

Output: 2

Explanation: 



 

Note:


	The width sum of bricks in different rows are the same and won't exceed INT_MAX.
	The number of bricks in each row is in range [1,10,000]. The height of wall is in range [1,10,000]. Total number of bricks of the wall won't exceed 20,000.








";"
```cpp
class Solution {
public:
    int leastBricks(vector<vector<int>>& wall) {
        int L = wall.size(), result = 0; map<int, int> tbl;
        
        for (int i = 0; i < L; ++i) {
            int space = 0, len = wall[i].size();
            for (int j = 0; j <= len-2; ++j) {
                space += wall[i][j];
                if (tbl.find(space) == tbl.end())  tbl[space] = 1;
                else tbl[space]++;
                result = max(result, tbl[space]);
            }
        }
        
        return L - result;
    }
};
```


"
0552 Student Attendance Record II;"https://leetcode.com/problems/student-attendance-record-ii/description/

* algorithms
* Hard (32.40%)
* Total Accepted:    11.4K
* Total Submissions: 35.2K
* Testcase Example:  '1'

Given a positive integer n, return the number of all possible attendance records with length n, which will be regarded as rewardable. The answer may be very large, return it after mod 109 + 7.

A student attendance record is a string that only contains the following three characters:



'A' : Absent. 
'L' : Late.
 'P' : Present. 




A record is regarded as rewardable if it doesn't contain more than one 'A' (absent) or more than two continuous 'L' (late).

Example 1:

Input: n = 2
Output: 8 
Explanation:
There are 8 records with length 2 will be regarded as rewardable:
""PP"" , ""AP"", ""PA"", ""LP"", ""PL"", ""AL"", ""LA"", ""LL""
Only ""AA"" won't be regarded as rewardable owing to more than one absent times. 



Note:
The value of n won't exceed 100,000.










";"
```cpp
class Solution {
public:
    int checkRecord(int n) {
        long a0l0 = 1, a0l1 = 1, a0l2 = 0;
        long a1l0 = 1, a1l1 = 0, a1l2 = 0;
        long long tmp = 0, M = 1000000007;
        for (int i=1; i<n; i++) {
            tmp = (a0l0 + a0l1 + a0l2) % M;
            a0l2 = a0l1;
            a0l1 = a0l0;
            a0l0 = tmp;
            tmp = (a1l0 + a1l1 + a1l2 + tmp) % M;
            a1l2 = a1l1;
            a1l1 = a1l0;
            a1l0 = tmp;
        }
        return (a0l0 + a0l1 + a0l2 + a1l0 + a1l1 + a1l2) % M;
    }
};
```


"
0324 Wiggle Sort II;"https://leetcode.com/problems/wiggle-sort-ii/description/

* algorithms
* Medium (27.51%)
* Total Accepted:    54.4K
* Total Submissions: 197.9K
* Testcase Example:  '[1,5,1,1,6,4]'

Given an unsorted array nums, reorder it such that nums[0] < nums[1] > nums[2] < nums[3]....

Example 1:


Input: nums = [1, 5, 1, 1, 6, 4]
Output: One possible answer is [1, 4, 1, 5, 1, 6].

Example 2:


Input: nums = [1, 3, 2, 2, 3, 1]
Output: One possible answer is [2, 3, 1, 3, 1, 2].

Note:
You may assume all input has valid answer.

Follow Up:
Can you do it in O(n) time and/or in-place with O(1) extra space?





";"
```cpp
class Solution {
public:
    void wiggleSort(vector<int>& nums) {
        int len = nums.size();
        auto p  = nums.begin() + len/2;
        nth_element(nums.begin(), p, nums.end());
        #define NUMS(i) nums[(2*i+1)%(len|1)]
        int m = *p, i = 0, l = 0, h = len-1;
        while (i <= h) {
            if      (NUMS(i) > m) swap(NUMS(i++), NUMS(l++));
            else if (NUMS(i) < m) swap(NUMS(i)  , NUMS(h--));
            else                  i++;
        }
        #undef NUMS
    }
};
```


"
0321 Create Maximum Number;"https://leetcode.com/problems/create-maximum-number/description/

* algorithms
* Hard (25.16%)
* Total Accepted:    28.9K
* Total Submissions: 114.7K
* Testcase Example:  '[3,4,6,5]\n[9,1,2,5,8,3]\n5'

Given two arrays of length m and n with digits 0-9 representing two numbers. Create the maximum number of length k <= m + n from digits of the two. The relative order of the digits from the same array must be preserved. Return an array of the k digits.

Note: You should try to optimize your time and space complexity.

Example 1:


Input:
nums1 = [3, 4, 6, 5]
nums2 = [9, 1, 2, 5, 8, 3]
k = 5
Output:
[9, 8, 6, 5, 3]

Example 2:


Input:
nums1 = [6, 7]
nums2 = [6, 0, 4]
k = 5
Output:
[6, 7, 6, 0, 4]

Example 3:


Input:
nums1 = [3, 9]
nums2 = [8, 9]
k = 3
Output:
[9, 8, 9]






";"
```cpp
class Solution {
public:
    vector<int> maxNumber(vector<int>& nums1, vector<int>& nums2, int k) {
        vector<int> result;
        for (int i=0; i<=k; i++) {
            if (i  >nums1.size()) break;
            if (k-i>nums2.size()) continue;
            vector<int> s1 = maxSubarray(nums1, i), s2 = maxSubarray(nums2, k-i);
            vector<int> s  = mergeArray(s1, s2);
            if (greaterThen(s, 0, result, 0)) result.swap(s);
        }
        return result;
    }
    
    vector<int> maxSubarray(vector<int>& nums, int k) {
        vector<int> result; int len=nums.size();
        for (int i=0; i<len; ++i) {
            while (!result.empty()&&len-i>k-result.size()&&result.back()<nums[i]) result.pop_back();
            if (result.size()<k) result.push_back(nums[i]);
        }
        return move(result);
    }
    
    vector<int> mergeArray(vector<int>& nums1, vector<int>& nums2) {
        vector<int> result;
        int i1=0, i2=0;
        while (i1<nums1.size() && i2<nums2.size()) {
            if   (greaterThen(nums1, i1, nums2, i2)) result.push_back(nums1[i1++]);
            else                                     result.push_back(nums2[i2++]);
        }
        while (i1<nums1.size()) result.push_back(nums1[i1++]);
        while (i2<nums2.size()) result.push_back(nums2[i2++]);
        return move(result);
    }
    
    bool greaterThen(vector<int>& nums1, int i1, vector<int>& nums2, int i2) {
        int n = min(nums1.size()-i1, nums2.size()-i2);
        for (int i=0; i<n; i++) if (nums1[i1+i]!=nums2[i2+i]) return nums1[i1+i]>nums2[i2+i];
        return nums1.size()-i1 > nums2.size()-i2;
    }
};
```


"
0307 Range Sum Query - Mutable;"https://leetcode.com/problems/range-sum-query-mutable/description/

* algorithms
* Medium (27.55%)
* Total Accepted:    66.1K
* Total Submissions: 239.9K
* Testcase Example:  '[""NumArray"",""sumRange"",""update"",""sumRange""]\n[[[1,3,5]],[0,2],[1,2],[0,2]]'

Given an integer array nums, find the sum of the elements between indices i and j (i ≤ j), inclusive.

The update(i, val) function modifies nums by updating the element at index i to val.

Example:


Given nums = [1, 3, 5]

sumRange(0, 2) -> 9
update(1, 2)
sumRange(0, 2) -> 8


Note:


	The array is only modifiable by the update function.
	You may assume the number of calls to update and sumRange function is distributed evenly.







";"
```cpp
class NumArray {
public:
    NumArray(vector<int> &nums) {
        this->nums = nums; tree = nums; tree.insert(tree.begin(), 0);
        for (int i=tree.size()-1; i>=0; --i) for (int j=i-(i&-i)+1; j<i; j++) {
            tree[i] += tree[j];
        }
    }

    void update(int i, int val) {
        int delta = val - nums[i]; nums[i] = val; i++;
        while (i < tree.size()) tree[i] += delta, i += i&-i;
    }

    int sumRange(int i, int j) {
        // result = tree[1,j+1] - tree[1,i+1] + nums[i]; 
        int result = nums[i]; j++; i++;
        while (j >= 1) result += tree[j], j -= j&-j;
        while (i >= 1) result -= tree[i], i -= i&-i;
        return result;
    }

private:
    vector<int> nums;
    vector<int> tree;
};


// Your NumArray object will be instantiated and called as such:
// NumArray numArray(nums);
// numArray.sumRange(0, 1);
// numArray.update(1, 10);
// numArray.sumRange(1, 2);
```


"
0304 Range Sum Query 2D - Immutable;"https://leetcode.com/problems/range-sum-query-2d-immutable/description/

* algorithms
* Medium (31.28%)
* Total Accepted:    63.8K
* Total Submissions: 203.9K
* Testcase Example:  '[""NumMatrix"",""sumRegion"",""sumRegion"",""sumRegion""]\n[[[[3,0,1,4,2],[5,6,3,2,1],[1,2,0,1,5],[4,1,0,1,7],[1,0,3,0,5]]],[2,1,4,3],[1,1,2,2],[1,2,2,4]]'

Given a 2D matrix matrix, find the sum of the elements inside the rectangle defined by its upper left corner (row1, col1) and lower right corner (row2, col2).



The above rectangle (with the red border) is defined by (row1, col1) = (2, 1) and (row2, col2) = (4, 3), which contains sum = 8.


Example:

Given matrix = [
  [3, 0, 1, 4, 2],
  [5, 6, 3, 2, 1],
  [1, 2, 0, 1, 5],
  [4, 1, 0, 1, 7],
  [1, 0, 3, 0, 5]
]

sumRegion(2, 1, 4, 3) -> 8
sumRegion(1, 1, 2, 2) -> 11
sumRegion(1, 2, 2, 4) -> 12



Note:

You may assume that the matrix does not change.
There are many calls to sumRegion function.
You may assume that row1 ≤ row2 and col1 ≤ col2.







";"
```cpp
class NumMatrix {
    vector<vector<int>> summat;
public:
    NumMatrix(vector<vector<int>> &matrix) {
        if (matrix.empty()) return ;
        const int ROW = matrix.size(), COL = matrix[0].size();
        summat = vector<vector<int>>(ROW, vector<int>(COL, 0));
        for (int i=0; i<ROW; i++) {
            int sumrow=0; vector<int>& row = matrix[i];
            for (int j=0; j<COL; j++) {
                sumrow += row[j];
                summat[i][j] = sumrow + (i>0 ? summat[i-1][j] : 0);
            }
        }
    }

    int sumRegion(int row1, int col1, int row2, int col2) {
        if (summat.empty()) return 0;
        int a = summat[row2][col2];
        int b = col1>0 ? summat[row2  ][col1-1] : 0;
        int c = row1>0 ? summat[row1-1][col2  ] : 0;
        int d = row1>0&&col1>0 ? summat[row1-1][col1-1] : 0;
        return a - b - c + d;
    }
};

// Your NumMatrix object will be instantiated and called as such:
// NumMatrix numMatrix(matrix);
// numMatrix.sumRegion(0, 1, 2, 3);
// numMatrix.sumRegion(1, 2, 3, 4);
```


"
0295 Find Median from Data Stream;"https://leetcode.com/problems/find-median-from-data-stream/description/

* algorithms
* Hard (35.01%)
* Total Accepted:    94.6K
* Total Submissions: 270.1K
* Testcase Example:  '[""MedianFinder"",""addNum"",""addNum"",""findMedian"",""addNum"",""findMedian""]\n[[],[1],[2],[],[3],[]]'

Median is the middle value in an ordered integer list. If the size of the list is even, there is no middle value. So the median is the mean of the two middle value.
For example,

[2,3,4], the median is 3

[2,3], the median is (2 + 3) / 2 = 2.5

Design a data structure that supports the following two operations:


	void addNum(int num) - Add a integer number from the data stream to the data structure.
	double findMedian() - Return the median of all elements so far.


 

Example:


addNum(1)
addNum(2)
findMedian() -> 1.5
addNum(3) 
findMedian() -> 2


 

Follow up:


	If all integer numbers from the stream are between 0 and 100, how would you optimize it?
	If 99% of all integer numbers from the stream are between 0 and 100, how would you optimize it?







";"
```cpp
// Your MedianFinder object will be instantiated and called as such:
// MedianFinder mf;
// mf.addNum(1);
// mf.findMedian();
class MedianFinder {
    priority_queue<int, vector<int>, less<int>>    l;
    priority_queue<int, vector<int>, greater<int>> r;
public:
    // Adds a number into the data structure.
    void addNum(int num) {
        if (l.empty() || num <= l.top()) l.push(num); else r.push(num);
        if      (l.size() > r.size()+1) { r.push(l.top()); l.pop(); }
        else if (r.size() > l.size())   { l.push(r.top()); r.pop(); }
    }

    // Returns the median of current data stream
    double findMedian() {
        return l.size()==r.size() ? double(l.top()+r.top())/2 : l.top();
    }
};
```


"
0239 Sliding Window Maximum;"https://leetcode.com/problems/sliding-window-maximum/description/

* algorithms
* Hard (37.18%)
* Total Accepted:    140K
* Total Submissions: 376.4K
* Testcase Example:  '[1,3,-1,-3,5,3,6,7]\n3'

Given an array nums, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position. Return the max sliding window.

Example:


Input: nums = [1,3,-1,-3,5,3,6,7], and k = 3
Output: [3,3,5,5,6,7] 
Explanation: 

Window position                Max
---------------               -----
[1  3  -1] -3  5  3  6  7       3
 1 [3  -1  -3] 5  3  6  7       3
 1  3 [-1  -3  5] 3  6  7       5
 1  3  -1 [-3  5  3] 6  7       5
 1  3  -1  -3 [5  3  6] 7       6
 1  3  -1  -3  5 [3  6  7]      7


Note: 
You may assume k is always valid, 1 ≤ k ≤ input array's size for non-empty array.

Follow up:
Could you solve it in linear time?






";"
看答案的，不是很好理解。不过貌似是一种专门的数据结构，这种一般比较难搞。

https://abitofcs.blogspot.com/2014/11/data-structure-sliding-window-minimum.html

我的理解是在Sliding Window的区间内，维护一个降序的序列。所有超出范围的去掉，所有逆序的去掉（对后续最大值没有帮助）。

```cpp
class Solution {
public:
    vector<int> maxSlidingWindow(vector<int>& nums, int k) {
        const int N = nums.size();
        vector<int> result; deque<int> q;
        for (int i=0; i<N; i++) {
            if    (!q.empty() && q.front() == i-k)         q.pop_front();
            while (!q.empty() && nums[q.back()] < nums[i]) q.pop_back();
            q.push_back(i);
            if (i-k+1 >= 0) result.push_back(nums[q.front()]);
        }
        return result;
    }
};
```
"
0238 Product of Array Except Self;"https://leetcode.com/problems/product-of-array-except-self/description/

* algorithms
* Medium (53.93%)
* Total Accepted:    228.6K
* Total Submissions: 423.8K
* Testcase Example:  '[1,2,3,4]'

Given an array nums of n integers where n > 1,  return an array output such that output[i] is equal to the product of all the elements of nums except nums[i].

Example:


Input:  [1,2,3,4]
Output: [24,12,8,6]


Note: Please solve it without division and in O(n).

Follow up:
Could you solve it with constant space complexity? (The output array does not count as extra space for the purpose of space complexity analysis.)






";"
以[a, b, c, d]为例

* 顺着[1, a, ab, abc]的形式
* 反着[bcd, bc, b, 1]的形式

```cpp
class Solution {
public:
    vector<int> productExceptSelf(vector<int>& nums) {
        const int N = nums.size(); vector<int> result(N, 1); 
        for (int i = 1, n = 1; i < N; i++) {
            n = n * nums[i-1];
            result[i] = n;
        }
        for (int i = N-2, n = 1; i >= 0; i--) {
            n = n * nums[i+1];
            result[i] = result[i] * n;
        }
        return result;
    }
};
```


"
